id,teff,logg,feh,vt,spectrum,ew measurements
Sun,5777,4.44,0,0.97,Kurucz et al. (1984),Ramirez & Allende Prieto (2011)
Arcturus,4286,1.66,-0.52,1.74,Hinkle & Wallace (2005),Ramirez & Allende Prieto (2011)
